milkychance.hq@gmail.com,Milky Chance,"Milky Chance is a German folk group originating from Kassel. It consists of lead vocalist and guitarist Clemens Rehbein, bassist and percussionist Philipp Dausch and guitarist Antonio Greger. Their first single ""Stolen Dance"" was released in April 2013, topping the charts in some countries."
norah.jones31@gmail.com,Norah Jones,"Norah Jones is an American singer, songwriter, pianist and actress. She has won multiple awards and has sold more than 50 million records worldwide. Billboard named her the top jazz artist of the 2000s decade. She has won nine Grammy Awards and was ranked 60th on Billboard magazine's artists of the 2000s decade chart."
bryan.adams41@hotmail.com,Bryan Adams,"Bryan Guy Adams OC OBC is a Canadian singer, songwriter, record producer, guitarist, photographer, philanthropist, and activist."
u2.official@icloud.com,U2,"U2 are an Irish rock band from Dublin, formed in 1976. The group consists of Bono, the Edge, Adam Clayton, and Larry Mullen Jr."
george.ezra.cool@me.com,George Ezra,"George Ezra Barnett is an English singer, songwriter and guitarist. After releasing two EPs, Did You Hear the Rain? in November 2013 and Cassy O' in March 2014, Ezra rose to prominence with the release of his hit single, ""Budapest"", which reached number one in several countries."
the_internet@hotmail.com,The Internet,"The Internet is an American band from Los Angeles, California. It currently consists of Syd, Matt Martians, Patrick Paige II, Christopher Smith, and Steve Lacy."
gorillazzz@me.com,Gorillaz,Gorillaz are a British virtual band created in 1998 by Damon Albarn and artist Jamie Hewlett.
bloc77party@yahoo.com,Bloc Party,"Bloc Party are an English rock band, composed of Kele Okereke, Russell Lissack, Justin Harris and Louise Bartle."
thylacine@icloud.com,Thylacine,"Qu’importe si le thylacine, sorte de mammifère au pelage tigré, vient de Tasmanie, c’est en Argentine que le jeune prodige de la scène électro française a décidé d’enregistrer son deuxième album. "
danielpemberton@music.com,Daniel Pemberton,Daniel Pemberton is an English composer.
retrov1s10n@gmail.com,Retrovision,"RetroVision is a 22 year old DJ, Producer and Remixer from France taking the electronic world by storm."
2manyzooz@hotmail.com,Too Many Zooz,"Too Many Zooz is an American music group based in New York City, consisting of Leo Pellegrino, Matt ""Doe"" Muirhead and David ""King of Sludge"" Parks."
overwerk@me.com,OVERWERK,"@OVERWERK continues to establish himself as a musical and artistic heavyweight. Despite being independent in an industry driven by corporate interest, OVERWERK’s unrelenting sound has only bolstered his international following."
sturgill@simpson.com,Sturgill Simpson,John Sturgill Simpson is an American country music singer-songwriter and actor.
woodkiiid@gmail.com,Woodkid,"Yoann Lemoine, known professionally as Woodkid, is a French music video director, graphic designer and singer-songwriter."
kongoskongos@kongos.com,KONGOS,"Kongos is a South African American band, now based in Phoenix, Arizona. The alternative rock group consists of four brothers: Dylan, Johnny, Jesse and Daniel Kongos."
nuages@icloud.com,Nuages,Nuages
mal.blum@gmail.com,Mal Blum,"Mal Blum (born July 7, 1988) is an American songwriter, musician, writer and performer from New York"
bigthief@gmail.com,Big Thief,"Big Thief is an American indie rock band with folk roots based in Brooklyn, New York, United States."
nnme@live.com,Noname,"Fatimah Nyeema Warner (born September 18, 1991), known professionally as Noname, is an American rapper, poet, and record producer from the Bronzeville neighborhood of Chicago"
rosenthal@gmail.com,Tom Rosenthal,"Tom Rosenthal is an English singer-songwriter and composer. His music has been described as ""short, expertly crafted pop songs""."
cavetowninq@gmail.com,cavetown,"Robin Daniel Skinner (born 15 December 1998), known professionally as Cavetown, is an English singer-songwriter and YouTuber based in Cambridge"
jsbach@yahoo.com,Johann Sebastian Bach,"Johann Sebastian Bach was better known as a virtuoso organist than as a composer in his day. His sacred music, organ and choral works, and other instrumental music had an enthusiasm and seeming freedom that concealed immense rigor. Bach's use of counterpoint was brilliant and innovative, and the immense complexities of his compositional style — which often included religious and numerological symbols that seem to fit perfectly together in a profound puzzle of special codes — still amaze musicians today. Many consider him the greatest composer of all time."
nightwishofficial@gmail.com,Nightwish,"Symphonic Metal band from Kitee (Finland). A creation of keyboardist and main songwriter Tuomas Holopainen, Nightwish formed in 1996 as an acoustic band. "
bribb123@yandex.com,Bri Babineaux,"Briana Babineaux (born August 26, 1994), who goes by the stage name Bri, is an American urban contemporary gospel artist and musician."
jonathanmcreynolds@telus.com,Jonathan McReynolds,"Contemporary gospel artist Jonathan McReynolds, a native of Chicago, Illinois' South Side, learned to play drums and keyboards prior to taking up singing in high school.  The Very Unofficial EP was released to the public and showcased McReynolds' intimate fusion of modern R&B, jazz, and contemporary singer/songwriter rock."
xylosocial@gmail.com,XYLØ ‎,"Xylø (stylised in all caps) is the solo-project of American singer-songwriter Paige Duddy, based in Los Angeles, CA. From 2015 to 2018, Xylø was a musical duo that consisted of Duddy and her brother Chase."
arcadefire@flames.com,Arcade Fire,"Indie rock band based in Montreal, Quebec, Canada, formed in 2001."
sevdaliza@sev.du,Sevdaliza,"Sevda Alizadeh, known professionally as Sevdaliza, is an Iranian-Dutch singer, songwriter and record producer. In 2015, she released two EPs, The Suspended Kid and Children of Silk. "
maraineysson@yahoo.com,Ma Rainey,"Ma Rainey wasn't the first blues singer to make records, but by all rights she probably should have been. In an era when women were the marquee names in blues, Rainey was once the most celebrated of all; the ""Mother of the Blues""."
